,year,borough,Post Type,Like,Retweet,Reply,Post Type_image,Post Type_text,Post Type_video,Police force,Contact / Interact,London,Project Servator,Local,Missing person,Crime,Arrest / Results,Traffic,Drugs
208,2017,Barking and Dagenham,image,25,4,,1,0,0,1,1,0,0,0,0,1,1,0,0
209,2017,Barking and Dagenham,image,8,1,,1,0,0,1,0,0,0,0,0,1,1,1,0
210,2017,Barking and Dagenham,image,15,2,1,1,0,0,1,0,0,0,0,0,1,1,1,0
211,2017,Barking and Dagenham,image,19,155,1,1,0,0,0,1,0,0,1,1,0,0,0,0
212,2017,Barking and Dagenham,image,11,3,3,1,0,0,1,0,0,0,1,0,0,1,1,1
213,2017,Barking and Dagenham,text,1,,,0,1,0,0,0,0,0,0,0,0,1,0,0
214,2017,Barking and Dagenham,text,,,,0,1,0,1,0,0,0,0,0,1,0,1,0
215,2017,Barking and Dagenham,text,,,1,0,1,0,1,0,0,0,0,0,1,0,1,0
216,2017,Barking and Dagenham,text,1,,,0,1,0,1,0,0,0,0,0,0,0,0,0
217,2017,Barking and Dagenham,text,1,,,0,1,0,0,1,0,0,0,0,0,0,0,0
218,2017,Barking and Dagenham,image,42,4,,1,0,0,1,0,0,0,0,0,1,1,1,0
219,2017,Barking and Dagenham,text,2,,,0,1,0,0,0,0,0,0,0,0,0,0,0
220,2017,Barking and Dagenham,text,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0
221,2017,Barking and Dagenham,text,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0
222,2017,Barking and Dagenham,text,1,,,0,1,0,0,0,1,0,0,0,0,0,0,0
223,2017,Barking and Dagenham,text,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0
224,2017,Barking and Dagenham,text,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
225,2017,Barking and Dagenham,image,7,4,,1,0,0,1,0,0,0,0,0,1,0,1,0
226,2017,Barking and Dagenham,image,14,2,1,1,0,0,1,1,0,0,1,0,1,0,1,0
227,2017,Barking and Dagenham,image,6,1,,1,0,0,1,0,0,0,0,0,1,0,1,0
228,2017,Barking and Dagenham,image,28,6,5,1,0,0,0,0,0,0,0,0,0,1,0,0
229,2017,Barking and Dagenham,image,16,6,,1,0,0,1,0,0,0,0,0,0,1,0,0
230,2017,Barking and Dagenham,image,7,30,,1,0,0,0,1,0,0,0,1,0,0,0,0
231,2017,Barking and Dagenham,image,3,,,1,0,0,1,0,0,0,0,0,0,0,0,0
232,2017,Barking and Dagenham,text,9,2,,0,1,0,1,1,0,0,0,0,0,0,1,0
233,2017,Barking and Dagenham,text,2,,,0,1,0,0,1,1,0,0,0,0,0,0,0
234,2017,Barking and Dagenham,text,4,16,2,0,1,0,0,1,0,0,0,0,0,0,0,0
235,2017,Barking and Dagenham,image,4,1,,1,0,0,1,0,0,0,0,0,0,0,0,0
236,2017,Barking and Dagenham,image,3,,,1,0,0,1,0,0,0,1,0,1,1,1,0
237,2017,Barking and Dagenham,text,2,,,0,1,0,1,0,0,0,0,0,1,0,0,0
238,2017,Barking and Dagenham,image,12,1,,1,0,0,1,0,0,0,0,0,0,1,1,1
239,2017,Barking and Dagenham,text,8,3,,0,1,0,1,0,0,0,0,0,0,1,0,0
240,2017,Barking and Dagenham,image,15,152,3,1,0,0,0,1,0,0,0,0,0,0,0,0
241,2017,Barking and Dagenham,text,1,,2,0,1,0,0,1,0,0,0,0,0,0,0,0
242,2017,Barking and Dagenham,text,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
243,2017,Barking and Dagenham,text,1,,,0,1,0,0,1,0,0,0,0,0,0,0,0
244,2017,Barking and Dagenham,image,11,18,2,1,0,0,1,1,0,0,0,0,1,0,0,0
245,2017,Barking and Dagenham,text,,,,0,1,0,0,1,0,0,0,0,0,0,0,0
246,2017,Barking and Dagenham,text,11,1,,0,1,0,1,0,0,0,0,0,0,1,1,0
247,2017,Barking and Dagenham,image,8,,,1,0,0,1,0,0,0,0,0,1,1,0,0
248,2017,Barking and Dagenham,text,10,,,0,1,0,1,0,0,0,0,0,1,1,1,0
249,2017,Barking and Dagenham,image,11,2,,1,0,0,1,0,0,0,0,0,0,0,1,0
250,2017,Barking and Dagenham,image,3,,,1,0,0,1,0,0,0,0,0,0,0,0,0
251,2017,Barking and Dagenham,image,10,1,,1,0,0,1,0,0,0,0,0,0,0,1,0
252,2017,Barking and Dagenham,image,6,,,1,0,0,1,0,0,0,0,0,0,0,1,0
253,2017,Barking and Dagenham,image,11,2,1,1,0,0,1,0,0,0,0,0,1,1,1,0
254,2017,Barking and Dagenham,image,3,,,1,0,0,0,0,0,0,0,0,0,0,0,0
255,2017,Barking and Dagenham,image,4,,1,1,0,0,1,0,0,0,0,0,1,0,0,0
256,2017,Barking and Dagenham,image,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
257,2017,Barking and Dagenham,image,18,3,,1,0,0,1,0,0,0,0,1,0,1,1,0
258,2017,Barking and Dagenham,text,2,,,0,1,0,1,0,0,0,0,0,0,1,0,0
259,2017,Barking and Dagenham,image,3,1,,1,0,0,1,0,0,0,0,0,0,0,0,0
260,2017,Barking and Dagenham,text,,,,0,1,0,0,1,0,0,0,0,1,1,1,0
261,2017,Barking and Dagenham,text,3,,,0,1,0,0,0,0,0,0,0,1,1,0,0
262,2017,Barking and Dagenham,image,3,,,1,0,0,1,0,0,0,0,0,0,0,0,0
263,2017,Barking and Dagenham,image,10,5,,1,0,0,0,0,0,0,0,0,0,0,1,0
264,2017,Barking and Dagenham,text,1,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
265,2017,Barking and Dagenham,image,17,2,3,1,0,0,1,0,0,0,0,0,0,0,1,0
266,2017,Barking and Dagenham,image,5,1,,1,0,0,0,0,0,0,0,0,0,0,1,0
267,2017,Barking and Dagenham,image,11,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0
268,2017,Barking and Dagenham,image,19,6,3,1,0,0,1,0,1,0,0,0,0,0,0,0
269,2017,Barking and Dagenham,image,6,4,,1,0,0,1,0,0,0,0,0,1,1,0,0
270,2017,Barking and Dagenham,image,3,,,1,0,0,1,0,0,0,0,0,0,0,0,0
271,2017,Barking and Dagenham,text,5,,,0,1,0,0,0,0,0,0,0,0,0,0,1
272,2017,Barking and Dagenham,text,7,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
273,2017,Barking and Dagenham,image,3,,,1,0,0,0,0,0,0,0,0,1,0,0,0
274,2017,Barking and Dagenham,image,2,2,,1,0,0,0,0,0,0,0,0,0,1,0,0
