;borough;year;population;like;retweet;reply;post_length;post_type_image;post_type_text;post_type_video;entries;avg_like;avg_retweet;avg_reply;Q131;Q133
27;Croydon;2020;400272;6613.0;5575.0;837.0;200.323717948718;190.0;118.0;17.0;325;20.34769230769231;17.153846153846153;2.5753846153846154;1.5310734463276836;1.694915254237288
28;Ealing;2017;347126;4426.0;3400.0;366.0;114.9542395693136;364.0;345.0;38.0;747;5.925033467202142;4.551539491298527;0.4899598393574297;1.6927899686520376;1.9435736677115987
29;Ealing;2018;350784;4999.0;3106.0;473.0;183.49260355029585;382.0;232.0;62.0;676;7.394970414201183;4.594674556213017;0.6997041420118343;1.4565217391304348;1.826086956521739
30;Ealing;2019;354184;1786.0;1110.0;159.0;189.99289099526067;315.0;41.0;66.0;422;4.232227488151659;2.6303317535545023;0.3767772511848341;1.4715447154471544;1.8563685636856369
31;Ealing;2020;361833;4807.0;1766.0;329.0;194.57413793103447;418.0;94.0;69.0;581;8.273666092943202;3.0395869191049916;0.5662650602409639;1.533724340175953;1.7595307917888563
32;Enfield;2017;335647;17795.0;8430.0;1203.0;116.57502131287298;574.0;1771.0;14.0;2359;7.543450614667232;3.573548113607461;0.50996184824078;1.4937106918238994;1.8144654088050314
33;Enfield;2018;337697;12784.0;5499.0;1275.0;165.92391304347825;349.0;825.0;27.0;1201;10.644462947543714;4.578684429641965;1.061615320566195;1.347945205479452;1.7808219178082192
34;Enfield;2019;339480;7077.0;2424.0;497.0;226.37109375;317.0;174.0;21.0;512;13.822265625;4.734375;0.970703125;1.3342245989304813;1.7299465240641712
35;Enfield;2020;342993;9943.0;3742.0;912.0;212.30670470756064;397.0;252.0;55.0;704;14.123579545454545;5.315340909090909;1.2954545454545454;1.533527696793003;1.7317784256559767
36;Greenwich;2017;282774;5814.0;4437.0;704.0;123.76600698486612;286.0;563.0;12.0;861;6.7526132404181185;5.153310104529616;0.8176538908246226;1.43;1.8433333333333333
37;Greenwich;2018;286322;4670.0;1576.0;457.0;187.64467005076145;109.0;83.0;5.0;197;23.705583756345177;8.0;2.3197969543147208;1.3641456582633054;1.7058823529411764
38;Greenwich;2019;289650;266.0;93.0;14.0;205.1;19.0;10.0;2.0;31;8.580645161290322;3.0;0.45161290322580644;1.445983379501385;1.6842105263157894
39;Greenwich;2020;292466;3488.0;1718.0;325.0;211.35121951219512;115.0;66.0;28.0;209;16.688995215311003;8.220095693779903;1.555023923444976;1.4396551724137931;1.7097701149425288
40;Hackney;2017;277475;19651.0;9230.0;2486.0;103.65602605863192;326.0;1212.0;15.0;1553;12.653573728267869;5.943335479716677;1.6007726980038635;1.3224755700325732;1.749185667752443
41;Hackney;2018;281740;10597.0;3994.0;2348.0;156.15693430656935;160.0;389.0;9.0;558;18.991039426523297;7.157706093189964;4.207885304659499;1.28125;1.6458333333333333
42;Hackney;2019;286425;13782.0;5345.0;1280.0;167.63922518159805;169.0;245.0;8.0;422;32.65876777251185;12.665876777251185;3.0331753554502368;1.2387267904509285;1.4854111405835544
43;Hackney;2020;289488;15737.0;7323.0;2901.0;190.65904365904365;114.0;353.0;21.0;488;32.247950819672134;15.006147540983607;5.944672131147541;1.3779761904761905;1.6547619047619047
44;Hammersmith and Fulham;2017;181889;5368.0;2539.0;399.0;118.39444444444445;241.0;274.0;31.0;546;9.831501831501832;4.6501831501831505;0.7307692307692307;1.561056105610561;1.891089108910891
45;Hammersmith and Fulham;2018;184050;3010.0;1052.0;229.0;189.48417721518987;160.0;148.0;11.0;319;9.435736677115987;3.2978056426332287;0.7178683385579937;1.398860398860399;1.660968660968661
46;Hammersmith and Fulham;2019;186075;2759.0;852.0;210.0;206.73708920187792;96.0;100.0;17.0;213;12.953051643192488;4.0;0.9859154929577465;1.4367816091954022;1.7413793103448276
47;Hammersmith and Fulham;2020;190721;5292.0;1969.0;570.0;213.41176470588235;159.0;144.0;37.0;340;15.564705882352941;5.791176470588235;1.6764705882352942;1.5180722891566265;1.891566265060241
48;Haringey;2017;282397;9138.0;6125.0;1231.0;108.19795427196148;450.0;1114.0;101.0;1665;5.488288288288288;3.6786786786786787;0.7393393393393394;1.5081967213114753;1.9245901639344263
49;Haringey;2018;284288;5774.0;4623.0;673.0;191.61458333333331;257.0;390.0;27.0;674;8.566765578635016;6.859050445103858;0.9985163204747775;1.4516129032258065;1.8413978494623655
50;Haringey;2019;285949;3992.0;2437.0;341.0;223.9630996309963;241.0;266.0;45.0;552;7.231884057971015;4.4148550724637685;0.6177536231884058;1.3324468085106382;1.7207446808510638
51;Haringey;2020;288913;10600.0;3984.0;889.0;210.51247600767755;581.0;407.0;71.0;1059;10.009442870632672;3.762039660056657;0.8394711992445704;1.4376811594202898;1.6840579710144927
52;Harrow;2017;252052;2262.0;1802.0;295.0;100.27586206896552;147.0;201.0;4.0;352;6.426136363636363;5.119318181818182;0.8380681818181818;1.3843648208469055;1.6254071661237786
53;Harrow;2018;255369;4559.0;2728.0;668.0;153.76119402985074;169.0;222.0;14.0;405;11.25679012345679;6.735802469135803;1.6493827160493828;1.413888888888889;1.825
54;Harrow;2019;258861;2946.0;743.0;337.0;180.48858447488584;81.0;141.0;3.0;225;13.093333333333334;3.3022222222222224;1.4977777777777779;1.5053475935828877;1.86096256684492
55;Harrow;2020;261348;2450.0;612.0;212.0;198.7121212121212;58.0;76.0;2.0;136;18.014705882352942;4.5;1.5588235294117647;1.5670391061452513;1.7960893854748603
56;Havering;2017;256162;2424.0;1994.0;178.0;106.9322033898305;280.0;186.0;14.0;480;5.05;4.154166666666667;0.37083333333333335;1.515625;1.7625
57;Havering;2018;257511;4150.0;2252.0;344.0;124.16091954022988;302.0;76.0;26.0;404;10.272277227722773;5.574257425742574;0.8514851485148515;1.4381720430107527;1.7419354838709677
58;Havering;2019;258655;3636.0;1756.0;210.0;127.5726872246696;282.0;144.0;40.0;466;7.802575107296137;3.7682403433476397;0.45064377682403434;1.3802083333333333;1.7786458333333333
59;Havering;2020;261830;5188.0;1568.0;338.0;142.88101983002832;464.0;188.0;80.0;732;7.087431693989071;2.1420765027322406;0.46174863387978143;1.5134328358208955;1.662686567164179
60;Hillingdon;2017;307040;2342.0;838.0;275.0;113.28034682080924;181.0;152.0;18.0;351;6.672364672364672;2.3874643874643873;0.7834757834757835;1.696875;2.015625
