;year;gender;race;borough;mean_Q131;mean_Q133;count;total_surveys_borough;proportion_subgroup;Q131_Q133_avg;year;mean_Q131;mean_Q133;count;total_surveys_borough;proportion_subgroup;Q131_Q133_avg;gender_Male;race_Black;race_White;borough_Barnet;borough_Bexley;borough_Brent;borough_Bromley;borough_Camden;borough_Croydon;borough_Ealing;borough_Enfield;borough_Greenwich;borough_Hackney;borough_Hammersmith and Fulham;borough_Haringey;borough_Harrow;borough_Havering;borough_Hillingdon;borough_Hounslow;borough_Islington;borough_Kensington and Chelsea;borough_Kingston upon Thames;borough_Lambeth;borough_Lewisham;borough_Merton;borough_Newham;borough_Redbridge;borough_Richmond upon Thames;borough_Southwark;borough_Sutton;borough_Tower Hamlets;borough_Waltham Forest;borough_Wandsworth;borough_Westminster
39;2017;Female;Black;Ealing;1.6428571428571428;2.0;14;311;0.04501607717041801;1.8214285714285714;2017;1.6428571428571428;2.0;14;311;0.04501607717041801;1.8214285714285714;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
40;2017;Female;Black;Enfield;1.5862068965517242;1.896551724137931;29;314;0.09235668789808917;1.7413793103448276;2017;1.5862068965517242;1.896551724137931;29;314;0.09235668789808917;1.7413793103448276;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
41;2017;Female;Black;Greenwich;1.4838709677419355;1.903225806451613;31;299;0.10367892976588629;1.6935483870967742;2017;1.4838709677419355;1.903225806451613;31;299;0.10367892976588629;1.6935483870967742;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
42;2017;Female;Black;Hackney;1.2926829268292683;1.6341463414634145;41;294;0.13945578231292516;1.4634146341463414;2017;1.2926829268292683;1.6341463414634145;41;294;0.13945578231292516;1.4634146341463414;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
43;2017;Female;Black;Hammersmith and Fulham;1.4285714285714286;1.9642857142857142;28;293;0.09556313993174062;1.6964285714285714;2017;1.4285714285714286;1.9642857142857142;28;293;0.09556313993174062;1.6964285714285714;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
44;2017;Female;Black;Haringey;1.4516129032258065;1.967741935483871;31;292;0.10616438356164383;1.7096774193548387;2017;1.4516129032258065;1.967741935483871;31;292;0.10616438356164383;1.7096774193548387;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
45;2017;Female;Black;Harrow;1.3333333333333333;1.4444444444444444;18;301;0.059800664451827246;1.3888888888888888;2017;1.3333333333333333;1.4444444444444444;18;301;0.059800664451827246;1.3888888888888888;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
46;2017;Female;Black;Havering;1.1111111111111112;1.2222222222222223;9;314;0.028662420382165606;1.1666666666666667;2017;1.1111111111111112;1.2222222222222223;9;314;0.028662420382165606;1.1666666666666667;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
47;2017;Female;Black;Hillingdon;1.6875;2.1875;16;307;0.05211726384364821;1.9375;2017;1.6875;2.1875;16;307;0.05211726384364821;1.9375;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
48;2017;Female;Black;Hounslow;1.625;1.875;8;300;0.02666666666666667;1.75;2017;1.625;1.875;8;300;0.02666666666666667;1.75;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
