Upper tier local authorities Code,Upper tier local authorities,Ethnic group (8 categories) Code,Ethnic group,Observation
E08000012,Liverpool,2,Black,16965
E08000012,Liverpool,3,Mixed,16879
E08000012,Liverpool,4,White British,375785
E08000012,Liverpool,5,White Other,6826
E08000012,Liverpool,6,White Other,25831
E08000012,Liverpool,7,Other,16034
E08000013,St. Helens,-8,Does not apply,0
E08000013,St. Helens,1,Asian,2579
E08000013,St. Helens,2,Black,774
E08000013,St. Helens,3,Mixed,1971
E08000013,St. Helens,4,White British,171546
E08000013,St. Helens,5,White Other,945
E08000013,St. Helens,6,White Other,4397
E08000013,St. Helens,7,Other,1034
E08000014,Sefton,-8,Does not apply,0
E08000014,Sefton,1,Asian,4294
E08000014,Sefton,2,Black,1509
E08000014,Sefton,3,Mixed,4056
E08000014,Sefton,4,White British,256327
E08000014,Sefton,5,White Other,2241
E08000014,Sefton,6,White Other,8972
E08000014,Sefton,7,Other,1834
E08000015,Wirral,-8,Does not apply,0
E08000015,Wirral,1,Asian,7302
E08000015,Wirral,2,Black,1389
E08000015,Wirral,3,Mixed,4930
E08000015,Wirral,4,White British,295967
E08000015,Wirral,5,White Other,2641
E08000015,Wirral,6,White Other,6084
E08000015,Wirral,7,Other,1886
E08000016,Barnsley,-8,Does not apply,0
E08000016,Barnsley,1,Asian,2297
E08000016,Barnsley,2,Black,1715
E08000016,Barnsley,3,Mixed,2293
E08000016,Barnsley,4,White British,226488
E08000016,Barnsley,5,White Other,526
E08000016,Barnsley,6,White Other,9920
E08000016,Barnsley,7,Other,1333
E08000017,Doncaster,-8,Does not apply,0
E08000017,Doncaster,1,Asian,9086
E08000017,Doncaster,2,Black,3742
E08000017,Doncaster,3,Mixed,4605
E08000017,Doncaster,4,White British,266879
E08000017,Doncaster,5,White Other,999
E08000017,Doncaster,6,White Other,19077
E08000017,Doncaster,7,Other,3718
E08000018,Rotherham,-8,Does not apply,0
E08000018,Rotherham,1,Asian,14176
E08000018,Rotherham,2,Black,3016
E08000018,Rotherham,3,Mixed,3855
E08000018,Rotherham,4,White British,234613
E08000018,Rotherham,5,White Other,655
E08000018,Rotherham,6,White Other,6686
E08000018,Rotherham,7,Other,2806
E08000019,Sheffield,-8,Does not apply,0
E08000019,Sheffield,1,Asian,53560
E08000019,Sheffield,2,Black,25512
E08000019,Sheffield,3,Mixed,19704
E08000019,Sheffield,4,White British,414698
E08000019,Sheffield,5,White Other,2750
E08000019,Sheffield,6,White Other,22766
E08000019,Sheffield,7,Other,17531
E08000021,Newcastle upon Tyne,-8,Does not apply,0
E08000021,Newcastle upon Tyne,1,Asian,34128
E08000021,Newcastle upon Tyne,2,Black,9921
E08000021,Newcastle upon Tyne,3,Mixed,6920
E08000021,Newcastle upon Tyne,4,White British,223567
E08000021,Newcastle upon Tyne,5,White Other,1895
E08000021,Newcastle upon Tyne,6,White Other,14538
E08000021,Newcastle upon Tyne,7,Other,9156
E08000022,North Tyneside,-8,Does not apply,0
E08000022,North Tyneside,1,Asian,5397
E08000022,North Tyneside,2,Black,1279
E08000022,North Tyneside,3,Mixed,2879
E08000022,North Tyneside,4,White British,193303
E08000022,North Tyneside,5,White Other,797
E08000022,North Tyneside,6,White Other,4108
E08000022,North Tyneside,7,Other,1204
E08000023,South Tyneside,-8,Does not apply,0
E08000023,South Tyneside,1,Asian,4317
E08000023,South Tyneside,2,Black,786
E08000023,South Tyneside,3,Mixed,1996
E08000023,South Tyneside,4,White British,137429
E08000023,South Tyneside,5,White Other,353
E08000023,South Tyneside,6,White Other,1701
E08000023,South Tyneside,7,Other,1196
E08000024,Sunderl&,-8,Does not apply,0
E08000024,Sunderl&,1,Asian,8204
E08000024,Sunderl&,2,Black,2664
E08000024,Sunderl&,3,Mixed,2505
E08000024,Sunderl&,4,White British,254655
E08000024,Sunderl&,5,White Other,511
E08000024,Sunderl&,6,White Other,4209
E08000024,Sunderl&,7,Other,1426
E08000025,Birmingham,-8,Does not apply,0
E08000025,Birmingham,1,Asian,355383
E08000025,Birmingham,2,Black,125757
E08000025,Birmingham,3,Mixed,55205
